noise,percorr,goldsm,goldss,timem,times
0.0,true,12.5,5.254627590144816,13.883714285714285,1.1791959288213103
0.025,true,19.6,5.358275012642698,15.592571428571429,1.832855571638218
0.05,true,17.2,3.9101008796307144,19.253428571428568,9.708086542073573
0.075,true,11.7,3.802046232695699,19.122857142857143,9.41997691501232
0.1,true,9.9,4.863697724525605,16.05642857142857,2.4178235795189864
0.125,true,8.9,4.121757985239901,16.40157142857143,2.356624228658876
0.15,true,6.1,3.7844711945293255,16.110142857142858,1.1139302343025905
0.175,true,4.6,2.503331114069145,16.539428571428573,1.8371370806396634
0.2,true,3.3,2.213594362117866,17.42757142857143,2.6431056983076378
